Date,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips
11/27/2020,Ocean County,"170,700","430,951","2,122,652"
11/27/2020,Passaic County,"160,291","343,019","1,518,684"
11/27/2020,Salem County,"17,235","45,372","237,352"
11/27/2020,Somerset County,"96,506","234,658","1,096,141"
11/27/2020,Sussex County,"38,444","102,355","457,124"
11/27/2020,Union County,"183,458","374,609","1,818,301"
11/27/2020,Warren County,"28,728","77,051","340,089"
11/28/2020,Atlantic County,"80,977","184,452","762,903"
11/28/2020,Bergen County,"315,012","621,680","2,881,048"
11/28/2020,Burlington County,"138,367","307,017","1,316,046"
11/28/2020,Camden County,"167,340","339,738","1,509,419"
11/28/2020,Cape May County,"31,444","61,116","262,286"
11/28/2020,Cumberland County,"40,525","110,447","478,767"
11/28/2020,Essex County,"278,687","521,080","2,178,843"
11/28/2020,Gloucester County,"85,752","205,656","947,583"
11/28/2020,Hudson County,"271,003","405,058","1,793,680"
11/28/2020,Hunterdon County,"32,900","91,814","401,205"
11/28/2020,Mercer County,"118,733","251,078","1,068,637"
11/28/2020,Middlesex County,"254,867","574,818","2,516,449"
11/28/2020,Monmouth County,"183,371","437,983","2,083,851"
11/28/2020,Morris County,"152,381","341,847","1,554,815"
11/28/2020,Ocean County,"174,300","427,351","1,935,008"
11/28/2020,Passaic County,"160,495","342,815","1,410,023"
11/28/2020,Salem County,"17,875","44,732","206,962"
11/28/2020,Somerset County,"99,285","231,879","1,025,298"
11/28/2020,Sussex County,"39,181","101,618","436,664"
11/28/2020,Union County,"185,525","372,542","1,677,631"
11/28/2020,Warren County,"29,632","76,147","309,058"
11/22/2020,,"2,895,144","6,013,376","24,703,557"
11/23/2020,,"2,813,324","6,095,196","26,879,195"
11/24/2020,,"2,804,514","6,104,006","27,689,722"
11/25/2020,,"2,721,825","6,186,695","28,640,299"
11/26/2020,,"2,932,333","5,976,187","22,587,590"
11/27/2020,,"2,789,879","6,118,641","28,845,059"
11/28/2020,,"2,835,367","6,073,153","26,547,528"
11/29/2020,Atlantic County,"80,880","184,549","772,240"
11/29/2020,Bergen County,"318,973","617,719","2,863,233"
11/29/2020,Burlington County,"138,679","306,705","1,351,620"
11/29/2020,Camden County,"168,311","338,767","1,493,691"
11/29/2020,Cape May County,"30,217","62,343","263,851"
11/29/2020,Cumberland County,"42,307","108,665","453,395"
11/29/2020,Essex County,"284,597","515,170","2,195,467"
11/29/2020,Gloucester County,"86,142","205,266","919,698"
11/29/2020,Hudson County,"275,393","400,668","1,803,476"
11/29/2020,Hunterdon County,"33,420","91,294","403,375"
11/29/2020,Mercer County,"121,648","248,163","1,099,449"
11/29/2020,Middlesex County,"262,907","566,778","2,519,201"
11/29/2020,Monmouth County,"184,012","437,342","2,154,003"
11/29/2020,Morris County,"154,202","340,026","1,524,751"
11/29/2020,Ocean County,"172,617","429,034","1,955,009"
11/29/2020,Passaic County,"163,303","340,007","1,447,991"
11/29/2020,Salem County,"18,111","44,496","219,405"
11/29/2020,Somerset County,"98,162","233,002","1,025,875"
11/29/2020,Sussex County,"40,676","100,123","425,337"
11/29/2020,Union County,"188,205","369,862","1,662,992"
11/29/2020,Warren County,"30,527","75,252","315,207"
11/30/2020,Atlantic County,"81,197","184,232","768,535"
11/30/2020,Bergen County,"322,854","613,838","2,824,332"
11/30/2020,Burlington County,"138,558","306,826","1,333,353"
11/30/2020,Camden County,"170,712","336,366","1,457,835"
11/30/2020,Cape May County,"31,580","60,980","264,571"
11/30/2020,Cumberland County,"41,989","108,983","444,709"
11/30/2020,Essex County,"278,718","521,049","2,208,969"
11/30/2020,Gloucester County,"85,868","205,540","921,283"
11/30/2020,Hudson County,"268,281","407,780","1,913,719"
11/30/2020,Hunterdon County,"33,160","91,554","389,782"
11/30/2020,Mercer County,"119,659","250,152","1,098,941"
11/30/2020,Middlesex County,"254,925","574,760","2,476,436"
11/30/2020,Monmouth County,"190,985","430,369","1,938,365"
11/30/2020,Morris County,"156,933","337,295","1,405,696"
11/30/2020,Ocean County,"174,607","427,044","1,871,341"
11/30/2020,Passaic County,"162,439","340,871","1,433,998"
11/30/2020,Salem County,"17,067","45,540","206,104"
11/30/2020,Somerset County,"99,472","231,692","1,014,801"
11/30/2020,Sussex County,"39,623","101,176","399,968"
11/30/2020,Union County,"183,981","374,086","1,728,617"
11/30/2020,Warren County,"28,944","76,835","303,805"
11/29/2020,,"2,870,445","6,038,075","26,657,140"
11/30/2020,,"2,864,402","6,044,118","26,247,996"
12/23/2020,Atlantic County,"83,849","181,580","899,574"
12/23/2020,Bergen County,"328,211","608,481","3,323,972"
12/23/2020,Burlington County,"141,503","303,881","1,572,271"
12/23/2020,Camden County,"174,196","332,882","1,620,699"
12/23/2020,Cape May County,"32,884","59,676","330,894"
12/23/2020,Cumberland County,"41,891","109,081","556,135"
12/23/2020,Essex County,"281,190","518,577","2,437,890"
12/23/2020,Gloucester County,"87,081","204,327","1,014,484"
12/23/2020,Hudson County,"275,655","400,406","1,995,515"
12/23/2020,Hunterdon County,"33,387","91,327","434,987"
12/23/2020,Mercer County,"121,864","247,947","1,214,640"
12/23/2020,Middlesex County,"260,976","568,709","3,015,923"
12/23/2020,Monmouth County,"192,405","428,949","2,371,751"
12/23/2020,Morris County,"160,532","333,696","1,729,696"
12/23/2020,Ocean County,"176,384","425,267","2,157,064"
12/23/2020,Passaic County,"165,448","337,862","1,675,570"
12/23/2020,Salem County,"18,028","44,579","194,110"
12/23/2020,Somerset County,"100,091","231,073","1,134,347"
12/23/2020,Sussex County,"40,503","100,296","448,700"
12/23/2020,Union County,"190,387","367,680","1,809,641"
12/23/2020,Warren County,"29,910","75,869","375,585"
12/24/2020,Atlantic County,"82,441","182,988","785,057"
12/24/2020,Bergen County,"328,458","608,234","2,833,873"
12/24/2020,Burlington County,"144,130","301,254","1,376,109"
12/24/2020,Camden County,"173,954","333,124","1,436,123"
12/24/2020,Cape May County,"32,894","59,666","257,723"
12/24/2020,Cumberland County,"43,508","107,464","489,770"
12/24/2020,Essex County,"286,287","513,480","2,196,232"
12/24/2020,Gloucester County,"88,751","202,657","916,731"
12/24/2020,Hudson County,"276,371","399,690","1,724,994"
12/24/2020,Hunterdon County,"35,298","89,416","387,630"
12/24/2020,Mercer County,"121,295","248,516","1,124,565"
12/24/2020,Middlesex County,"262,999","566,686","2,503,977"
12/24/2020,Monmouth County,"195,020","426,334","2,064,644"
12/24/2020,Morris County,"162,843","331,385","1,476,541"
12/24/2020,Ocean County,"179,754","421,897","1,934,586"
12/24/2020,Passaic County,"168,697","334,613","1,461,736"
12/24/2020,Salem County,"18,292","44,315","190,471"
12/24/2020,Somerset County,"101,217","229,947","1,017,743"
12/24/2020,Sussex County,"41,582","99,217","389,023"
12/24/2020,Union County,"194,828","363,239","1,612,111"
12/24/2020,Warren County,"30,527","75,252","282,471"
12/25/2020,Atlantic County,"89,842","175,587","482,101"
12/25/2020,Bergen County,"347,213","589,479","1,621,677"
12/25/2020,Burlington County,"151,587","293,797","800,142"
12/25/2020,Camden County,"182,525","324,553","865,812"
12/25/2020,Cape May County,"33,951","58,609","161,699"
12/25/2020,Cumberland County,"45,584","105,388","306,660"
12/25/2020,Essex County,"304,315","495,452","1,331,068"
12/25/2020,Gloucester County,"94,897","196,511","557,869"
12/25/2020,Hudson County,"290,835","385,226","1,039,371"
12/25/2020,Hunterdon County,"38,106","86,608","222,447"
12/25/2020,Mercer County,"131,054","238,757","661,253"
12/25/2020,Middlesex County,"282,723","546,962","1,474,357"
